Gender,Year,Age,Country,imputed_flag,mx,logmx
Female,1950,95,CHE,FALSE,0.400835,-0.914205408
Female,1950,96,CHE,FALSE,0.294737,-1.221671846
Female,1950,97,CHE,FALSE,0.424528,-0.856777315
Female,1950,98,CHE,FALSE,0.734694,-0.308301193
Female,1950,99,CHE,FALSE,0.4,-0.916290732
Female,1951,0,CHE,FALSE,0.02603,-3.64850556
Female,1951,1,CHE,FALSE,0.002946,-5.827306961
Female,1951,2,CHE,FALSE,0.001691,-6.382435209
Female,1951,3,CHE,FALSE,0.001283,-6.658554193
Female,1951,4,CHE,FALSE,0.000893,-7.020923977
Female,1951,5,CHE,FALSE,0.000862,-7.056255287
Female,1951,6,CHE,FALSE,0.000639,-7.355606104
Female,1951,7,CHE,FALSE,0.0005,-7.60090246
Female,1951,8,CHE,FALSE,0.000647,-7.343164263
Female,1951,9,CHE,FALSE,0.000473,-7.656415169
Female,1951,10,CHE,FALSE,0.000375,-7.888584532
Female,1951,11,CHE,FALSE,0.000426,-7.761071212
Female,1951,12,CHE,FALSE,0.000266,-8.232014249
Female,1951,13,CHE,FALSE,0.000401,-7.821549131
Female,1951,14,CHE,FALSE,0.000435,-7.740164527
Female,1951,15,CHE,FALSE,0.00026,-8.254828927
Female,1951,16,CHE,FALSE,0.000499,-7.602904462
Female,1951,17,CHE,FALSE,0.000675,-7.300797867
Female,1951,18,CHE,FALSE,0.000472,-7.658531572
Female,1951,19,CHE,FALSE,0.0006,-7.418580903
Female,1951,20,CHE,FALSE,0.00092,-6.991136888
Female,1951,21,CHE,FALSE,0.000959,-6.949619483
Female,1951,22,CHE,FALSE,0.000787,-7.14728231
Female,1951,23,CHE,FALSE,0.000846,-7.074991198
Female,1951,24,CHE,FALSE,0.000756,-7.187469182
Female,1951,25,CHE,FALSE,0.001238,-6.694258105
Female,1951,26,CHE,FALSE,0.001514,-6.493000124
Female,1951,27,CHE,FALSE,0.001405,-6.567717976
Female,1951,28,CHE,FALSE,0.00129,-6.653113061
Female,1951,29,CHE,FALSE,0.001241,-6.691837773
Female,1951,30,CHE,FALSE,0.001058,-6.851374946
Female,1951,31,CHE,FALSE,0.001315,-6.633918613
Female,1951,32,CHE,FALSE,0.001869,-6.282351751
Female,1951,33,CHE,FALSE,0.002064,-6.183109431
Female,1951,34,CHE,FALSE,0.001517,-6.491020579
Female,1951,35,CHE,FALSE,0.001864,-6.285030563
Female,1951,36,CHE,FALSE,0.001732,-6.358478469
Female,1951,37,CHE,FALSE,0.002032,-6.198734749
Female,1951,38,CHE,FALSE,0.00196,-6.234810806
Female,1951,39,CHE,FALSE,0.001807,-6.316087267
Female,1951,40,CHE,FALSE,0.00234,-6.05760435
Female,1951,41,CHE,FALSE,0.002832,-5.866772103
Female,1951,42,CHE,FALSE,0.002686,-5.919702181
Female,1951,43,CHE,FALSE,0.002421,-6.023574601
Female,1951,44,CHE,FALSE,0.003085,-5.781203622
Female,1951,45,CHE,FALSE,0.003731,-5.591078985
Female,1951,46,CHE,FALSE,0.0041,-5.496768305
Female,1951,47,CHE,FALSE,0.003837,-5.563064468
Female,1951,48,CHE,FALSE,0.004653,-5.370243106
Female,1951,49,CHE,FALSE,0.00513,-5.27264962
Female,1951,50,CHE,FALSE,0.005301,-5.239859797
Female,1951,51,CHE,FALSE,0.005441,-5.213792411
Female,1951,52,CHE,FALSE,0.005942,-5.125709502
Female,1951,53,CHE,FALSE,0.007095,-4.948364968
Female,1951,54,CHE,FALSE,0.0067,-5.005647753
Female,1951,55,CHE,FALSE,0.007502,-4.892585627
Female,1951,56,CHE,FALSE,0.008852,-4.727111857
Female,1951,57,CHE,FALSE,0.009661,-4.639658116
Female,1951,58,CHE,FALSE,0.010876,-4.521196752
Female,1951,59,CHE,FALSE,0.012592,-4.374693587
Female,1951,60,CHE,FALSE,0.012887,-4.351536228
Female,1951,61,CHE,FALSE,0.015178,-4.187908268
Female,1951,62,CHE,FALSE,0.015376,-4.174947427
Female,1951,63,CHE,FALSE,0.017825,-4.027153313
Female,1951,64,CHE,FALSE,0.021446,-3.842217131
Female,1951,65,CHE,FALSE,0.022439,-3.796954763
Female,1951,66,CHE,FALSE,0.023527,-3.749606581
Female,1951,67,CHE,FALSE,0.026351,-3.636249054
Female,1951,68,CHE,FALSE,0.03154,-3.456498697
Female,1951,69,CHE,FALSE,0.033248,-3.403760664
Female,1951,70,CHE,FALSE,0.03679,-3.30252921
Female,1951,71,CHE,FALSE,0.04157,-3.180376526
Female,1951,72,CHE,FALSE,0.048438,-3.027470649
Female,1951,73,CHE,FALSE,0.057296,-2.859524466
Female,1951,74,CHE,FALSE,0.060229,-2.809601315
Female,1951,75,CHE,FALSE,0.063902,-2.750404619
Female,1951,76,CHE,FALSE,0.07691,-2.565119372
Female,1951,77,CHE,FALSE,0.084448,-2.471619319
Female,1951,78,CHE,FALSE,0.09448,-2.359367107
Female,1951,79,CHE,FALSE,0.101431,-2.288376515
Female,1951,80,CHE,FALSE,0.109765,-2.209413562
Female,1951,81,CHE,FALSE,0.127184,-2.062120422
Female,1951,82,CHE,FALSE,0.139683,-1.968379709
Female,1951,83,CHE,FALSE,0.157354,-1.849257235
Female,1951,84,CHE,FALSE,0.181016,-1.709169854
Female,1951,85,CHE,FALSE,0.188389,-1.669246305
Female,1951,86,CHE,FALSE,0.21611,-1.531967742
